LeadID,CreatedAt,UpdatedAt,FirstContactAt,ConvertedAt,Phone,Country,Region,City,PreferredLanguage,CourseID,CourseNameRaw,ManagerID,LeadStatus,LeadStage,LeadTemperature,LeadScore,Source,Medium,Campaign,Content,Term,LandingPage,DeviceType,ReferrerDomain,FirstTouchSource,LastTouchSource,ExpectedCoursePrice,ExpectedCurrency,DiscountRequested,IsDuplicateCandidate,FullName_en,ManagerNameRaw_en,Email_en
LEAD0000011,2024-01-01 01:36:44,2024-01-01 22:45:19,2024-01-01 19:45:19,,notset,Poland,Gdansk Region,Gdansk,UA,CRS0014,AI Automation Bundle,MGR0005,LOST,Закрыто и не реализовано (перестал брать трубку),HOT,61,email,email,ai_0526,ad_11,nan,/ua/ai-automation,MOBILE,nan,email,google,21560.0,PLN,True,True,Rozalіja Indyka,Ilarion D.,rozalіja.indyka6638@yahoo.com
LEAD0000012,2024-01-01 01:39:53,2024-01-01 21:00:16,2024-01-01 18:00:16,,+49266733824,Germany,Hamburg Region,Hamburg,EN,CRS0008,IT Start (Free),MGR0007,LOST,Закрыто и не реализовано (перестал брать трубку),COLD,32,organic,organic,,nan,nan,/ua/start,MOBILE,google.com,organic,organic,0.0,EUR,True,True,Larisa Prokopovich,Orest K.,larisa.prokopovich4293@gmail.com
LEAD0000013,2024-01-01 01:42:23,2024-01-02 00:00:00,2024-01-01 03:09:00,,+380638400012,Ukraine,Vinnytsia Oblast,Vinnytsia,UA,CRS0005,Front-End,MGR0003,LOST,Закрыто и не реализовано (неправильный номер),COLD,9,linkedin,social,Search- Курс AI - EU,ad_13,nan,/ua/frontend,DESKTOP,linkedin.com,linkedin,linkedin,29330.0,UAH,True,True,Fedot Goliszek,Oksana B.,fedot.goliszek7966@gmail.com
LEAD0000014,2024-01-01 01:43:13,2024-03-01 05:26:55,2024-01-01 02:26:55,,+380804976821,Ukraine,Lviv Oblast,Lviv,UA,CRS0012,QA,MGR0004,LOST,Закрыто и не реализовано (наберет сам если решит),WARM,51,facebook,cpc,pmax_1_1_ua,ad_14,kw_13,/ua/qa,DESKTOP,facebook.com,meta,meta,33270.0,UAH,True,True,Sinklitikija Timchenko,Vasyl F.,sinklitikija.timchenko7864@gmail.com
LEAD0000015,2024-01-01 01:43:28,2024-01-24 09:17:32,2024-01-01 05:14:51,2024-01-21 15:17:32,+380968295990,Ukraine,Kharkiv Oblast,,UA,CRS0014,AI Automation Bundle,MGR0003,WON,Успешно реализовано,WARM,23,organic,organic,,nan,nan,/ua/ai-automation,MOBILE,google.com,organic,organic,21990.0,UAH,True,True,Gabriela Davies,Oksana B.,gabriela.davies8864@gmail.com
LEAD0000016,2024-01-01 01:43:49,2024-03-01 06:32:59,2024-01-01 11:32:59,,+380727644489,Ukraine,Odesa Oblast,Odessa,UA,CRS0008,IT Start (Free),MGR0007,LOST,Закрыто и не реализовано (наберет сам если решит),COLD,33,facebook,cpc,ai_0526,ad_16,kw_15,/ua/start,MOBILE,facebook.com,meta,meta,0.0,UAH,True,True,Ewa Blohina,Orest K.,ewa.blohina5402@outlook.com
LEAD0000017,2024-01-01 01:51:32,2024-02-01 16:02:22,2024-01-01 07:02:22,,+380905732093,Ukraine,Kharkiv Oblast,Kharkiv,UA,CRS0011,QA Automation,MGR0003,IN PROGRESS,"ЯЩ (я еще горячий, но уже остываю)",WARM,55,facebook,cpc,Display - Ремаркетинг - Ukraine,ad_17,kw_16,/ua/qa,MOBILE,facebook.com,meta,meta,27560.0,UAH,True,True,Іllja Zapaśnik,Oksana B.,іllja.zapaśnik9321@icloud.com
LEAD0000018,2024-01-01 01:56:26,2024-05-01 02:19:35,2024-01-01 03:53:01,2024-02-01 17:19:35,+1267730876,United States,New York Region,New York,EN,CRS0008,IT Start (Free),MGR0002,WON,Успешно реализовано,HOT,0,google,cpc,search_kursс_data_analytics_ukraine,ad_18,kw_17,/ua/start,MOBILE,google.com,google,google,0.0,USD,True,True,Avrelіj Makaruk,Natalia H.,avrelіj.makaruk3717@gmail.com
LEAD0000019,2024-01-01 02:03:08,2024-02-15 10:57:04,2024-01-01 02:51:21,2024-02-14 02:57:04,+380683740071,Ukraine,Vinnytsia Oblast,Vinnytsia,RU,CRS0001,AI Automation,MGR0002,WON,Успешно реализовано,HOT,60,telegram,broadcast,da_free_course_v1,ad_1,nan,/ua/ai-automation,MOBILE,t.me,telegram,telegram,37170.0,UAH,True,True,Pilip Homik,Natalia H.,pilip.homik3238@gmail.com
LEAD0000020,2024-01-01 02:07:54,2024-04-01 06:27:08,2024-02-01 02:27:08,,+380922761553,Ukraine,Dnipro Oblast,,RU,CRS0014,ai-automation-gift,MGR0006,LOST,Закрыто и не реализовано (купил у конкурентов),COLD,23,facebook,cpc,search - brand - ukraine,ad_2,kw_19,/ua/ai-automation,MOBILE,facebook.com,meta,meta,21810.0,UAH,True,True,Tverdislav Dorofeev,John Z.,tverdislav.dorofeev4714@icloud.com
LEAD0000021,2024-01-01 02:08:52,2024-01-02 00:00:00,2024-01-01 22:13:07,,+380402747152,Czech Republic,Prague Region,Prague,CS,CRS0002,Data Analytics - online,MGR0006,LOST,Закрыто и не реализовано,COLD,28,email,email,Search - Курс Web Design - Ukraine,ad_3,nan,/ua/data-analytics,DESKTOP,nan,email,email,37470.0,CZK,True,True,Oktjabrina Karkocha,John Z.,oktjabrina.karkocha721@gmail.com
LEAD0000022,2024-01-01 02:14:08,2024-01-01 00:00:00,2024-01-01 00:00:00,,+380124505483,Ukraine,Vinnytsia Oblast,Vinnytsia,RU,CRS0002,Data Analytics,MGR0004,IN PROGRESS,Принимает решение,COLD,32,google,cpc,pmax_python_eu,ad_4,kw_21,/ua/data-analytics,MOBILE,google.com,google,google,37750.0,UAH,True,True,Przemysław Odintsov,Vasyl F.,przemysław.odintsov3872@gmail.com
LEAD0000023,2024-01-01 02:54:07,2024-03-01 01:05:27,2024-01-01 20:05:27,,+48659028031,Poland,Gdansk Region,Gdansk,UA,CRS0007,FullStack Python,MGR0003,LOST,Закрыто и не реализовано (дорого),COLD,26,linkedin,social,Search - Курс Data Analytics - Ukraine,ad_5,nan,/ua/fullstack,DESKTOP,linkedin.com,linkedin,linkedin,40020.0,PLN,True,True,Irina Tihonov,Oksana B.,irina.tihonov29@outlook.com
LEAD0000024,2024-01-01 02:55:49,2024-01-14 09:04:15,2024-01-01 06:24:51,2024-01-13 01:04:15,+380707645423,Ukraine,Dnipro Oblast,Dnipro,UA,CRS0012,QA,MGR0003,WON,Успешно реализовано,HOT,50,facebook,cpc,test_1,ad_6,kw_23,/ua/qa,MOBILE,facebook.com,meta,meta,34410.0,UAH,True,True,Trofim Martinez,Oksana B,trofim.martinez6647@ukr.net
LEAD0000025,2024-01-01 03:10:10,2024-03-01 19:10:10,,,+380721826304,Ukraine,Kyiv Oblast,Kyiv,UA,CRS0017,QA Engineer,MGR0007,LOST,Закрыто и не реализовано (купил у конкурентов),COLD,32,email,email,da_free,ad_7,nan,/ua/qa,TABLET,nan,email,email,28480.0,UAH,True,True,Nazar Horіshko,Orest K.,nazar.horіshko4825@gmail.com
LEAD0000026,2024-01-01 03:34:08,2024-01-01 23:54:30,2024-01-01 16:54:30,,+48123289412,Poland,Gdansk Region,Gdansk,UA,CRS0015,Data Analytics (Free Intro),MGR0005,LOST,Закрыто и не реализовано (купил у конкурентов),WARM,28,instagram,cpc,Search - Курс Web Design - Ukraine,ad_8,kw_25,/ua/data-analytics,MOBILE,instagram.com,instagram,instagram,0.0,PLN,True,True,Dmitro Novikova,Ilarion D.,dmitro.novikova3283@gmail.com
LEAD0000027,2024-01-01 03:38:09,2024-01-25 08:43:32,2024-01-01 11:16:06,2024-01-23 08:43:32,+380268899861,Ukraine,Kharkiv Oblast,Kharkiv,RU,CRS0015,Data Analytics (Free Intro),MGR0007,WON,Успешно реализовано,HOT,75,instagram,cpc,ai_course_v1,ad_9,kw_26,/ua/data-analytics,MOBILE,instagram.com,instagram,instagram,0.0,UAH,True,True,Kornel Krasil'Nikov,Orest K.,kornel.krasil'nikov937@gmail.com
LEAD0000028,2024-01-01 03:46:20,2024-01-10 00:00:00,2024-01-01 08:39:27,2024-07-01 22:00:13,+49433214871,Germany,unknown,Munchen,DE,CRS0015,Data Analytics (Free Intro),MGR0003,WON,Успешно реализовано,COLD,52,google,cpc,Display - Ремаркетинг - Ukraine,ad_10,kw_27,/ua/data-analytics,MOBILE,google.com,google,google,0.0,EUR,True,True,Prokofij Johns,Oksana B.,prokofij.johns1036@gmail.com
LEAD0000029,2024-01-01 03:47:46,2024-02-15 04:57:19,2024-01-01 05:13:01,2024-02-14 13:57:19,+380416750976,Ukraine,Odesa Oblast,Odessa,UA,CRS0015,Data Analytics (Free Intro),MGR0008,WON,Успешно реализовано,HOT,64,email,email,Leads_DataAnalytics-Start_UA_May25,ad_11,nan,/ua/data-analytics,MOBILE,nan,email,email,0.0,UAH,True,True,Krystyna Johnson,Vasil' G.,krystyna.johnson1604@outlook.com
LEAD0000030,2024-01-01 04:18:22,2024-03-01 02:04:12,2024-01-01 14:04:12,,+380833202288,Ukraine,Vinnytsia Oblast,Vinnytsia,UA,CRS0013,Web Design,MGR0007,LOST,Закрыто и не реализовано (спам),WARM,78,organic,organic,,nan,nan,/ua/frontend,DESKTOP,google.com,organic,Organic,24000.0,UAH,True,True,Rodion Bryzek,Orest K.,rodion.bryzek9316@ukr.net
LEAD0000031,2024-01-01 04:33:20,2024-02-15 10:19:04,2024-01-01 00:00:00,2024-12-02 18:19:04,+380942220070,Ukraine,Odesa Oblast,Odessa,RU,CRS0013,Web Design,MGR0008,WON,Успешно реализовано,COLD,0,referral,referral,,nan,nan,/ua/frontend,MOBILE,prog.academy,referral,referral,25800.0,UAH,True,True,Jan Parasjuk,Vasil' G.,jan.parasjuk6192@gmail.com
LEAD0000032,2024-01-01 04:38:05,2024-04-01 17:09:01,2024-01-01 10:42:52,2024-04-01 10:09:01,+380474378764,Ukraine,Kharkiv Oblast,Kharkiv,RU,CRS0015,Data Analytics (Free Intro),MGR0007,WON,Успешно реализовано,HOT,48,telegram,broadcast,ai_course_v1,ad_14,nan,/ua/data-analytics,MOBILE,t.me,telegram,telegram,0.0,UAH,True,True,Alexis Jarvis,Orest K.,alexis.jarvis6215@yahoo.com
LEAD0000033,2024-01-01 04:42:18,2024-01-01 22:42:18,,,+380052077944,Ukraine,Dnipro Oblast,Dnipro,RU,CRS0015,Data Analytics (Free Intro),MGR0005,LOST,Закрыто и не реализовано (передумал),WARM,36,google,cpc,da_free_course_v2,ad_15,kw_32,/ua/data-analytics,MOBILE,google.com,google,google,0.0,UAH,True,True,Iwo Page,Ilarion D.,iwo.page8574@ukr.net
LEAD0000034,2024-01-01 05:02:05,2024-02-01 16:37:53,2024-02-01 01:37:53,,+380771081168,Ukraine,Vinnytsia Oblast,Vinnytsia,RU,CRS0013,Web Design,MGR0005,LOST,Закрыто и не реализовано (неправильный номер),WARM,53,google,cpc,ai-web-v2,ad_16,kw_33,/ua/frontend,TABLET,google.com,google,google,24760.0,UAH,True,True,Larisa Flaga,Ilarion D.,larisa.flaga2114@icloud.com
LEAD0000035,2024-01-01 05:03:44,2024-06-01 17:45:38,2024-01-01 06:26:30,2024-01-04 00:00:00,+420556946779,Czech Republic,Prague Region,Prague,EN,CRS0005,Front-End,MGR0003,WON,Успешно реализовано,WARM,35,google,cpc,fullstack,ad_17,kw_34,/ua/frontend,MOBILE,google.com,google,google,29360.0,CZK,True,True,Leon Sprawka,Oksana B.,leon.sprawka2568@icloud.com
LEAD0000036,2024-01-01 05:08:37,2024-02-14 00:27:50,,2024-02-13 16:27:50,+380014511184,Ukraine,Odesa Oblast,Odessa,UA,CRS0014,AI Automation Bundle,MGR0007,WON,Успешно реализовано,HOT,70,organic,organic,,nan,nan,/ua/ai-automation,DESKTOP,google.com,organic,organic,21020.0,UAH,True,True,Efrem Bell,Orest K.,efrem.bell4211@yahoo.com
LEAD0000037,2024-01-01 05:20:14,2024-03-01 09:57:09,2024-01-01 07:57:09,,+380756045015,Ukraine,Dnipro Oblast,Dnipro,RU,CRS0007,FullStack Python,MGR0007,IN PROGRESS,Получил материалы,COLD,38,direct,notset,,nan,nan,/ua/fullstack,MOBILE,nan,direct,direct,41660.0,UAH,True,True,Nan,Orest K.,justina.vladimirov5888@icloud.com
LEAD0000038,2024-01-01 05:21:01,2024-01-01 21:53:35,2024-01-01 06:53:35,,+380527056599,Ukraine,Kharkiv Oblast,Kharkiv,UA,CRS0007,FullStack Python,MGR0008,LOST,Закрыто и не реализовано,WARM,32,instagram,cpc,da_free_course_v1,ad_2,kw_37,/ua/fullstack,DESKTOP,instagram.com,instagram,instagram,45230.0,UAH,True,True,Polikarp Mamchur,Vassil' G.,polikarp.mamchur2216@gmail.com
LEAD0000039,2024-01-01 05:52:04,2024-02-01 13:33:02,2024-01-01 08:33:02,,+48860940294,Poland,Krakow Region,Krakow,PL,CRS0008,IT Start (Free),MGR0008,IN PROGRESS,"ЯЩ (я еще горячий, но уже остываю)",WARM,31,email,email,Search - Brand - Ukraine,ad_3,nan,/ua/start,MOBILE,nan,email,google,0.0,PLN,True,True,Lidija Randall,Vasil' G.,lidija.randall9051@ukr.net
LEAD0000040,2024-01-01 05:54:15,2024-01-01 22:07:39,2024-01-01 09:07:39,,+48851466281,Poland,Gdansk Region,Gdansk,UA,CRS0008,IT Start (Free),MGR0004,LOST,Закрыто и не реализовано,COLD,35,organic,organic,,nan,nan,/ua/start,DESKTOP,google.com,organic,organic,0.0,PLN,True,True,Raymond Brown,Vasyl F.,raymond.brown3616@yahoo.com
LEAD0000041,2024-01-01 05:59:45,2024-01-03 00:00:00,2024-01-01 20:43:13,,+380543481467,Ukraine,Dnipro Oblast,Dnipro,RU,CRS0005,Front-End,MGR0006,IN PROGRESS,Записан на пробное занятие,HOT,57,email,email,ai_auto_present,ad_5,nan,/ua/frontend,MOBILE,nan,email,email,26900.0,UAH,True,True,Simon Kopylov,John Z.,simon.kopylov5810@gmail.com
LEAD0000042,2024-01-01 06:01:28,2024-01-14 19:55:16,2024-01-01 09:08:25,2024-01-14 00:00:00,+380795209738,Ukraine,Odesa Oblast,Odessa,UA,CRS0008,IT Start (Free),MGR0007,WON,Успешно реализовано,HOT,63,telegram,broadcast,Search - DevOps - Ukraine,ad_6,nan,/ua/start,TABLET,t.me,telegram,email,0.0,UAH,True,True,Єfrem Rjabov,Orest K.,єfrem.rjabov9693@yahoo.com
LEAD0000043,2024-01-01 06:21:35,2024-08-01 16:53:58,2024-01-01 08:46:09,2024-08-01 09:53:58,+44444758763,United Kingdom,Manchester Region,Manchester,EN,CRS0007,FullStack Python,MGR0005,WON,Успешно реализовано,WARM,52,linkedin,social,pmax_eu,ad_7,nan,/ua/fullstack,MOBILE,linkedin.com,linkedin,linkedin,44570.0,EUR,True,True,Bianka Dorofeev,Ilarion D.,bianka.dorofeev2908@icloud.com
LEAD0000044,2024-01-01 06:25:32,2024-01-31 20:47:42,2024-01-01 09:19:31,2024-01-29 18:47:42,+380851160055,Ukraine,Dnipro Oblast,Dnipro,UA,CRS0015,Data Analytics (Free Intro),MGR0003,WON,Успешно реализовано,COLD,42,linkedin,social,Search - Brand - Ukraine,ad_8,nan,/ua/data-analytics,DESKTOP,linkedin.com,linkedin,linkedin,0.0,UAH,True,True,Sabrina Alekseeva,Oksana B.,sabrina.alekseeva8935@icloud.com
LEAD0000045,2024-01-01 06:33:13,2024-01-01 00:00:00,2024-01-01 10:41:30,,+380332006074,United Kingdom,London Region,London,EN,CRS0015,Data Analytics (Free Intro),MGR0004,LOST,Закрыто и не реализовано (передумал),WARM,23,instagram,cpc,pmax_bezkoshtovnij_kurs_z_data_analitiki_ua,ad_9,kw_4,/ua/data-analytics,MOBILE,instagram.com,instagram,instagram,0.0,EUR,True,True,Derek Wright,Vasyl F.,derek.wright6167@gmail.com
LEAD0000046,2024-01-01 06:34:42,2024-03-01 16:24:10,2024-01-01 00:00:00,,+380555199101,Ukraine,Odesa Oblast,Odessa,RU,CRS0017,QA Engineer,MGR0005,LOST,Закрыто и не реализовано (не актуально),COLD,53,email,email,ai_web_v1,ad_10,nan,/ua/qa,DESKTOP,nan,email,email,25950.0,UAH,True,True,Edita Page,Ilarion D.,edita.page7022@ukr.net
LEAD0000047,2024-01-01 07:16:16,2024-01-23 06:12:27,2024-01-01 09:08:23,2024-01-21 00:00:00,+48800390647,Poland,Wroclaw Region,Wroclaw,PL,CRS0010,Python,MGR0004,WON,Успешно реализовано,COLD,43,facebook,cpc,Search - Курс Data Analytics - EU,ad_11,kw_6,/ua/python,DESKTOP,facebook.com,meta,meta,27410.0,PLN,True,True,Jessica Barabash,Vasyl F.,jessica.barabash6844.outlook.com
LEAD0000048,2024-01-01 07:16:25,2024-01-16 23:43:54,2024-01-01 23:08:46,2024-01-15 02:43:54,+7844235741,Kazakhstan,Almaty Region,,RU,CRS0008,IT Start (Free),MGR0006,WON,Успешно реализовано,WARM,59,linkedin,social,ai_0526,ad_12,nan,/ua/start,DESKTOP,linkedin.com,linkedin,linkedin,0.0,USD,True,True,Ada Sawyer,John Z.,ada.sawyer7420@yahoo.com
LEAD0000049,2024-01-01 07:33:18,2024-01-29 16:34:12,2024-01-01 11:00:17,2024-01-29 05:34:12,+380527140652,Ukraine,Lviv Oblast,,UA,CRS0005,Fronted-end - online,MGR0004,WON,Успешно реализовано,WARM,52,instagram,cpc,ai_web_v1,ad_13,kw_8,/ua/frontend,TABLET,instagram.com,instagram,INSTAGRAM,27350.0,UAH,True,True,Fekla Shashkov,Vasyl F.,fekla.shashkov3045@outlook.com
LEAD0000050,2024-01-01 07:34:18,2024-01-20 03:28:21,2024-01-01 09:50:50,2024-01-19 10:28:21,notset,Ukraine,Odesa Oblast,Odessa,RU,CRS0015,Data Analytics (Free Intro),MGR0008,WON,Успешно реализовано,COLD,27,facebook,cpc,pmax_ua,ad_14,kw_9,/ua/data-analytics,MOBILE,facebook.com,meta,direct,0.0,UAH,True,True,Natasza Іvanichuk,Vasil' G.,natasza.іvanichuk8593@icloud.com
LEAD0000051,2024-01-01 07:37:13,2024-03-01 13:05:06,2024-01-01 09:05:06,,+380006211551,Ukraine,Lviv Oblast,Lviv,UA,CRS0010,Python,MGR0004,LOST,Закрыто и не реализовано (спам),WARM,65,facebook,cpc,Search - QA - EU,ad_15,kw_10,/ua/python,DESKTOP,facebook.com,meta,meta,29250.0,UAH,True,True,Ksawery Frolova,Vasyl F.,ksawery.frolova364@outlook.com
LEAD0000052,2024-01-01 07:45:43,2024-12-02 00:57:27,2024-01-01 08:14:43,2024-11-02 07:57:27,+380686802503,Ukraine,Dnipro Oblast,Dnipro,UA,CRS0008,IT Start (Free),MGR0007,WON,Успешно реализовано,WARM,17,google,cpc,Search - DevOps - Ukraine,ad_16,kw_11,/ua/start,DESKTOP,google.com,google,google,0.0,UAH,True,True,Rebecca Haritonova,Orest K.,rebecca.haritonova5188@yahoo.com
LEAD0000053,2024-01-01 07:50:38,2024-01-02 23:01:30,2024-01-01 08:38:21,2024-01-30 03:01:30,+380738042186,Ukraine,Lviv Oblast,Lviv,UA,CRS0015,Data Analytics (Free Intro),MGR0008,WON,Успешно реализовано,HOT,64,google,cpc,,ad_17,kw_12,/ua/data-analytics,MOBILE,google.com,google,referral,0.0,UAH,True,True,Kajetan Bentley,Vasil' G.,kajetan.bentley9955@yahoo.com
LEAD0000054,2024-01-01 08:13:21,2024-02-01 16:48:41,2024-01-01 16:48:41,,+380595233729,Ukraine,Lviv Oblast,Lviv,UA,CRS0006,FullStack Java,MGR0007,LOST,Закрыто и не реализовано (наберет сам если решит),WARM,30,organic,organic,,nan,nan,/ua/fullstack,MOBILE,google.com,organic,organic,39860.0,UAH,True,True,Milan Barton,Orest K.,milan.barton8698@gmail.com
LEAD0000055,2024-01-01 00:00:00,2024-02-01 22:44:17,2024-01-01 08:44:17,,+380695921154,Ukraine,Kyiv Oblast,Kyiv,UA,CRS0017,QA Engineer,MGR0002,IN PROGRESS,Принимает решение,COLD,16,dou,referral,Leads_DataAnalytics-Start_UA_May25,ad_1,nan,/ua/qa,MOBILE,dou.ua,dou,dou,25660.0,UAH,True,True,Ruth Ortiz,Natalia H.,ruth.ortiz9121@yahoo.com
LEAD0000056,2024-01-01 08:19:46,2024-02-01 15:45:41,2024-01-01 16:45:41,,+380943397901,Ukraine,Kyiv Oblast,Kyiv,UA,CRS0006,FullStack Java - online,MGR0006,LOST,Закрыто и не реализовано (дорого),COLD,34,organic,organic,,nan,nan,/ua/fullstack,MOBILE,google.com,organic,organic,37190.0,UAH,True,True,Richard Karas',John Z.,richard.karas'8967@outlook.com
LEAD0000057,2024-01-01 08:51:02,2024-10-02 14:14:48,2024-01-01 15:35:31,2024-07-02 17:14:48,+380987432697,Ukraine,Vinnytsia Oblast,Vinnytsia,RU,CRS0007,FullStack Python - online,MGR0001,WON,Успешно реализовано,HOT,74,google,cpc,pmax_bezkoshtovnij_kurs_z_data_analitiki_ua,ad_3,kw_16,/ua/fullstack,DESKTOP,google.com,google,google,41690.0,UAH,True,True,Łukasz Bashpolchenko,Ivan M.,łukasz.bashpolchenko6285@gmail.com
LEAD0000058,2024-01-01 08:53:58,2024-04-01 01:58:36,2024-01-01 09:58:36,,+48891868192,Poland,Krakow Region,Krakow,UA,CRS0001,AI Automation,MGR0008,LOST,Закрыто и не реализовано (спам),WARM,30,facebook,cpc,da_free,ad_4,kw_17,/ua/ai-automation,MOBILE,facebook.com,meta,meta,40190.0,PLN,True,True,Lisa Phillips,Vasil' G.,lisa.phillips6174@gmail.com
LEAD0000059,2024-01-01 08:55:50,2024-03-01 07:22:32,2024-01-01 09:22:32,,+380210263102,Ukraine,Odesa Oblast,Odessa,RU,CRS0001,AI Automation,MGR0002,LOST,Закрыто и не реализовано (перестал брать трубку),COLD,35,instagram,cpc,ai-web-v2,ad_5,kw_18,/ua/ai-automation,MOBILE,instagram.com,instagram,instagram,40000.0,UAH,True,True,Sebastian Smith,Natalia H.,sebastian.smith3366@gmail.com
LEAD0000060,2024-01-01 08:56:12,2024-04-01 15:50:16,2024-01-01 09:32:57,2024-04-01 04:50:16,+48950227526,Poland,Krakow Region,Krakow,UA,CRS0012,QA,MGR0008,WON,Успешно реализовано,WARM,47,email,email,52668241941290,ad_6,nan,/ua/qa,MOBILE,nan,email,email,30530.0,PLN,True,True,Kimberly Jaschuk,Vasil' G.,kimberly.jaschuk8942@gmail.com
LEAD0000061,2024-01-01 08:56:57,2024-04-01 08:58:58,2024-01-01 13:24:46,2024-02-01 21:58:58,+48997485097,Poland,Gdansk Region,Gdansk,UA,CRS0001,AI Automation,MGR0008,WON,Успешно реализовано,HOT,57,google,cpc,python_260526,ad_7,kw_20,/ua/ai-automation,TABLET,google.com,google,google,35860.0,PLN,True,True,German Lavrent'Eva,Vasil' G.,german.lavrent'eva4202@gmail.com
